text_id	category	aspect	start	end	sentiment	sent_id	sent
3976	Whole	ресторане	71	80	neutral	1	Решил написать отзыв о ресторане в котором отметили прекрасный весений праздник, прочитал отзывы edik077 и Rules77777и понял что либо мы были вразных ресторанах, либо у ребят что-то незаладилось.
3976	Whole	ресторанах	198	208	neutral	1	Решил написать отзыв о ресторане в котором отметили прекрасный весений праздник, прочитал отзывы edik077 и Rules77777и понял что либо мы были вразных ресторанах, либо у ребят что-то незаладилось.
3976	Whole	ресторане	256	265	neutral	2	Но теперь о ресторане.
3976	Service	Столик бронировали	267	285	neutral	3	Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.
3976	Service	администратор	322	335	positive	3	Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.
3976	Service	предварительный заказ	349	370	positive	3	Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.
3976	Whole	ресторан	413	421	neutral	3	Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.
3976	Whole	ресторане	476	485	neutral	3	Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.
3976	Food	горячее блюдо	524	537	neutral	3	Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.
3976	Food	Меню	564	568	positive	4	Меню достаточно разнообразное и весьма вкусное, мне и моим друзьям понравилось всё что нам принесли, а принесли нам немало.
3976	Service	Обслуживание	688	700	both	5	Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно.
3976	Service	официанты	739	748	positive	5	Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно.
3976	Interior	Интерьер	854	862	positive	7	Интерьер хороший, удобные диваны.
3976	Interior	диваны	880	886	positive	7	Интерьер хороший, удобные диваны.
3976	Interior	музыкальная программа	901	922	positive	8	Очень хорошая музыкальная программа и весёлый ведущий.
3976	Interior	ведущий	933	940	positive	8	Очень хорошая музыкальная программа и весёлый ведущий.
3976	Whole	ресторан	1019	1027	positive	9	В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая.
3976	Food	кухня	1038	1043	positive	9	В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая.
3976	Whole	Руководству	1053	1064	positive	10	Руководству и персоналу СПАСИБО.
3976	Service	персоналу	1067	1076	positive	10	Руководству и персоналу СПАСИБО.
30808	Whole	ресторане	16	25	neutral	0	Отмечали в этом ресторане день рождение на первом этаже в субботу вечером.
30808	Interior	первом этаже	43	55	neutral	0	Отмечали в этом ресторане день рождение на первом этаже в субботу вечером.
30808	Whole	руководству ресторана	124	145	positive	1	Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.
30808	Service	обслуживающему персоналу	147	171	positive	1	Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.
30808	Service	сотрудникам	189	200	positive	1	Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.
30808	Food	блюда	254	259	positive	1	Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.
30808	Interior	интерьер	310	318	positive	3	Конечно же впечатляет интерьер: уютно и красиво.
30808	Food	Стол	337	341	positive	4	Стол был шикарный.
30808	Service	обслуживал	360	370	positive	5	Нас обслуживал официант Бахрам, спасибо ему.
30808	Service	официант	371	379	positive	5	Нас обслуживал официант Бахрам, спасибо ему.
30808	Whole	ресторана	424	433	positive	6	Хочу отметить, что для ресторана такого уровня цены не высокие.
30808	Price	цены	448	452	positive	6	Хочу отметить, что для ресторана такого уровня цены не высокие.
14031	Whole	"ресторана ""Крапива"""	48	67	neutral	0	"Хочу поделиться своим впечатлением от посещения ресторана ""Крапива""."
14031	Whole	рестораном	134	144	positive	2	Уже при первой встрече с рестораном (при заказе) все понравилось.
14031	Interior	интерьер	183	191	positive	3	Хороший интерьер, приятный, воспитанный администратор Светлана.
14031	Service	администратор	215	228	positive	3	Хороший интерьер, приятный, воспитанный администратор Светлана.
14031	Food	меню	265	269	neutral	4	Очень помогала при выборе меню.
14031	Service	обслуживании	275	287	positive	5	При обслуживании банкета официанты внимательно смотрели за столом.
14031	Service	официанты	296	305	positive	5	При обслуживании банкета официанты внимательно смотрели за столом.
14031	Service	смотрели за столом	318	336	positive	5	При обслуживании банкета официанты внимательно смотрели за столом.
14031	Service	молодой человек	469	484	positive	8	За барной стойкой помогал с музыкой молодой человек, к сожалению не знаю всех имен.
14031	Whole	ресторан	540	548	positive	9	Очень советую посетить ресторан, атмосфера домашняя.
14031	Interior	атмосфера	550	559	positive	9	Очень советую посетить ресторан, атмосфера домашняя.
14031	Whole	заведение	630	639	positive	10	Всем огромное спасибо, еще не один раз посетим это приятное заведение и будем рекомендовать своим друзьям.
14031	Whole	Крапивы	687	696	positive	11	"Посещение ""Крапивы"" останется на всю жизнь!!!"
2495	Whole	кафе	42	46	neutral	1	Были вчера с друзьями в этом кафе!
2495	Service	поварам	84	91	positive	3	Огромное спасибо поварам, очень вкусные блюда!!!!!
2495	Food	блюда	107	112	positive	3	Огромное спасибо поварам, очень вкусные блюда!!!!!
2495	Food	бивштексы	129	138	positive	4	Заказывали бивштексы, нет слов как вкусно)))
2495	Service	обслуживание	292	304	positive	6	Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!
2495	Interior	атмосферу	315	324	positive	6	Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!
2495	Service	официантов	341	351	positive	6	Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!
2495	Whole	место	408	413	positive	7	Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.
2495	Food	кухней	429	435	positive	7	Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.
2495	Service	персоналом	455	465	positive	7	Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.
38835	Whole	заведении	51	60	neutral	0	Отметили с мужем годовщину свадьбы 6 ноября в этом заведении.
38835	Service	сервисом	98	106	positive	1	в целом остались довольны, особенно сервисом.
38835	Service	Встретила	108	117	positive	2	Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался.
38835	Service	девушка	136	143	positive	2	Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался.
38835	Service	персонал	179	187	positive	2	Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался.
38835	Service	официант	230	238	positive	3	для цветов наш официант Сергей сразу принес вазу.
38835	Food	утку по-пекински	343	359	neutral	5	Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.
38835	Food	салата	363	369	neutral	5	Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.
38835	Food	свинину в кисло-сладком соусе	371	400	neutral	5	Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.
38835	Food	свинину	415	422	neutral	5	Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.
38835	Food	кальян	424	430	neutral	5	Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.
38835	Food	вина	440	444	neutral	5	Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.
