text_id	sent_id	sent	start	end
343	0	Отмечали свадьбу в этом ресторане!	0	34
343	1	В целом все понравилось!	35	59
343	2	Еда была свежая и вкусная, официанты приветливые, интерьер очень интересный, особенно всех поразил туалет с аквариумами!	60	180
343	3	Очень хорошее расположение в центре города, с красивыми видами из окна!	181	252
343	4	Но на наш праздник для детей нам не поставили стулья, хотя накануне мы это обговаривали и нам сказали, что ни каких проблем поставим!	253	386
343	5	В итоге одному поставили с горем пополам, а второй сидел весь банкет на ручках( и то видно они не выдержали и ушли с ребенком пораньше не дождавшись горячего (их горячее нам кстати с собой не завернули) и некоторым гостям не понравилось, что еду накладывали в тарелки..	387	656
343	6	так как многие не все ели...	656	684
343	7	Но это были единственные недочеты нашего торжества.	684	735
343	8	В целом всем советую этот ресторан для проведения банкета!	736	794
343	9	В конце нам все завернули с собой и отдали б/а напитки, алкоголя не осталось...	795	874
719	0	Пришли небольшой компанией отметить день рождения.	0	50
719	1	Заказали столик за день, как оказалось не зря, народу под вечер было очень много.	51	132
719	2	У входа встретили, предложили выбрать стол, уселись.	133	185
719	3	Пиво хугарден - супер, в фирменных бокалах.	186	229
719	4	Ели салаты, стейки, пили водку, пиво, коктейли - все на высшем уровне.	230	300
719	5	Не понравились только соленые грибы.	301	337
719	6	Ну это наверное дело вкуса - мне показались слишком соленые.	338	398
719	7	Селедка и мясная нарезка тоже на высоте.	399	439
719	8	Официанты работали отлично - приносили все быстро, периодические подходили узнать все ли нормально.	440	539
719	9	В общем заведение понравилось всей компании.	540	584
785	0	Добрый день!	0	12
785	1	Отмечали свадьбу 18 августа.	13	41
785	2	В общем всё прошло хорошо.	42	68
785	3	Ресторан понравился, интерьер приятный, много места, украсили красиво.	69	139
785	4	Что касается меню, ожидали лучшего!	140	175
785	5	Меню мы заказали самое дорогое за 2500 т.р., и думали , что столы будут ломиться от изобилия, но это было не так.	176	289
785	6	И некоторым гостям не понравились отдельные виды блюд.	290	344
785	7	Что касается торта , то он был очень вкусным , помогла нам его выбрать администратор Наталья.	345	438
785	8	По организации банкета Наталья нам во многом помогла!!!	439	494
785	9	Огромное ей спасибо за хорошие советы!	495	533
797	0	Были в ресторане 2 раза.	0	24
797	1	Один раз днем, все понравилось,второй раз вечером, решили зайти выпить чаю и вина..	25	108
797	2	Сидим, едим -пьем, вдруг подходит официантка и говорит: А Вы знаете, что мы сегодня работаем до 22.00 ?	109	212
797	3	Мы удивились,т.к. времени было 21.20 и мы хотели приятно провести вечер в ресторане..	213	298
797	4	Через 5 минут официантка опять подошла и попросила нас ее понять ( и других работников),т.к.	299	391
797	5	им начальство разрешает уходить домой пораньше, когда никого нет.	392	457
797	6	А мы, видимо, были никто, по ее мнению..	458	498
797	7	Но елси вдруг еще кто-то придет, то конечно они еще поработают..	498	562
797	8	Ругаться не хотелось, тк мы оимечали небольшой праздник, поэтому в 21.40 мы ушли.	563	644
797	9	Чаевые оставлять совсем не захотелось.	645	683
1032	0	Посетили этот ресторан 25,08,12.	0	32
1032	1	После посещения желания прийти ещё раз нет.	33	76
1032	2	Очень много недочетов как в работе официантов так и в блюдах.	77	138
1032	3	1.	139	141
1032	4	Были с ребенком, заказали из детского меню пиццу.	142	191
1032	5	К большому удивлению пицца (ещё раз - из детского меню!) была на столько острая, что и взрослые не смогли её есть, не говоря уже о ребенке.	192	331
1032	6	Официант вообще прокомментировала это так, что детское меню - это для взрослых, которые хотят заказать маленькие порции, а не для детей.	332	468
1032	7	:)) 2.	469	475
1032	8	Попросили принести обычный яблочный сок, не свежевыжатый, принесли свежевыжатый, пришлось вернуть.	476	574
1032	9	3.	575	577
1032	10	"Просили принести ""свежевыжатый сок в большом стакане + газированную воду"" сок принесли в маленьком стакане про воду забыли."	578	701
1032	11	4.	702	704
1032	12	Просили официанта помочь выбрать из 2-х блюд.	705	750
1032	13	"Официант сказал ""у нас все вкусное"" и помочь с выбором не смог."	751	814
1032	14	За кухню оценка 3, т.к. из всего заказа понравилась только панакота.	815	883
1032	15	Салат Цезарь был так себе + очень острая пицца из детского меню.	884	948
1032	16	"За сервис 3, т.к. официант путала заказы, не могла помочь с выбором (или не хотела, когда клиент просит помочь определиться, он не хочет услышать ""все вкусное, берите все"")."	949	1122
1032	17	"А мнение что детское меню не для детей, вообще ""убило""."	1123	1178
1032	18	Из плюсов хочу отметить няню в детской комнате, очень милая девушка, ребенку очень понравилась.	1179	1274
1052	0	Посещала это заведение раз пять.	0	32
1052	1	Возвращаться туда заставляла лишь хорошая кухня..	33	82
1052	2	Карпаччо подают со всевозможными бальзамиками и маслом.	82	137
1052	3	Неплохой выбор вин.	138	157
1052	4	Интерьер приятный: есть гардероб, диваны, приглушенный свет, ненавязчивая музыка (даже как-то раз наткнулись там на саксофониста), приятная атмосфера...	158	310
1052	5	НО!	311	314
1052	6	Обслуживание отвратительно!	315	342
1052	7	"Навсегда останется в памяти официант, который обращался к нам исключительно на ""ты"", дерзил, а когда ему было сделано замечание, он нам сообщил, что он поругался со своей девушкой и у него отвратительное настроение!"	343	558
1052	8	"В В другой раз нам ""повезло"" не меньше."	559	598
1052	9	Муж заказал стейк и мы често ждали его прибытия больше часа!	599	659
1052	10	Когда наша официантка все таки соизволила появиться (сидели мы почти у входа), от стейка мы отказались, но он волшебным образом всё равно оказался на столе уже через 5 минут и пришлось долго объяснять официантке, что его уже никто есть не будет!...	660	908
1052	11	Резюме следующее: место в целом отличное, цены не кусаются, но следует серьезно задуматься о замене персонала...	909	1021
1105	0	Один из моих любимых ресторанов.	0	32
1105	1	С самого открытия посещаю его, так как раньше жила рядом.	33	90
1105	2	При открытии подарили дисконтную карту 20% в подарок, и это стало мотивацией к частому посещению.	91	188
1105	3	Все всегда все очень вкусное: борщ с копченостями, роллы на гриле, обалденная филадельфия.	189	279
1105	4	Мой молодой человек скептически относился к моим отзывам, пока я его не привела туда.	280	365
